description	pathway	GF2_hFMT2A_S44	GF2_mjMb2B_input_S53	GF2_myFMT1_S56	GF3_AMS001_inoc1_S36	HF10_hFMT1_S68	HF9_hFMT2_S42	Healthy_cecalSeekatz26_S2	c21_1835_3_S30	c21_1836_2_S31	c21_1836_3_S110	c21_1837_1_S114	c21_1837_2_S143	c21_1837_3_S138	c21_1839_1_S139	c21_1839_2_S115	c21_1841_1_S137	c21_1901_3_S29	c21_1907_1_S69	cecal_1191_2_S134	cecal_1275_1_S135	cecal_1275_2_S136	cecal_19_1210_1_S77	cecal_19_1210_3_S80	cecal_19_1212_3_S84	cecal_d21_1199_2_S99	cecal_d21_1199_3_S100	cecal_d21_1200_1_S90	cecal_d21_1200_3_S94	cecal_d21_1200_4_S133	cecal_d21_1203_1_S89	cecal_d21_1203_4_S103	cecal_d21_1205_2_S88	cecal_d21_1205_4_S93	cecal_d21_1207_2_S97	cecal_d21_1207_3_S95	cecal_d21_1207_4_S102	cecal_d21_1209_3_S96	cecal_d25_2935_S59	cecal_d25_3739_S45	cecal_d25_5925_S43	cecal_d25_5942_S46	cecal_d28_429_S66	cecal_d28_448_S65	cecal_d28_5505_S67	cecal_d28_5520_S64	cecal_d42_1216_1_S92	cecal_d42_1216_2_S87	cecal_d42_1217_2_S91	cecal_d42_1223_5_S101	cecal_d42_1225_1_S98	cecal_d42_1225_2_S132	cecal_d46_2933_S48	cecal_d46_2949_S47	cecal_d46_2956_S58	cecal_d46_2966_S38	cecal_d46_3755_S49	cecal_d46_3765_S39	cecal_d46_3827_S57	cecal_d46_3_C18_C23836_S51	cecal_d46_4837_S52	cecal_d46_4914_S54	cecal_d46_5957_S50	cecal_d46_5964_S55	d0_1840_2_S112	d11_1203_1_S72	d11_1205_2_S75	d11_1840_1_S21	d11_1840_2_S24	d11_1840_3_S27	d11_1901Seekatz24_S1	d18_1835_1_S25	d18_1835_3_S22	d18_1836_2_S111	d18_1836_3_S105	d18_1836_4_S116	d18_1837_1_S142	d18_1837_2_S113	d18_1839_1_S108	d18_1839_2_S34	d18_1839_3_S109	d18_1840Seekatz18_S3	d18_1901_3_S26	d18_1907_1_S71	d19_1199_2_S79	d19_1199_3_S81	d19_1200_1_S83	d19_1200_2_S78	d19_1203Seekatz34_S6	d19_1203_1_S35	d19_1203_3_S32	d19_1205_2_S82	d19_1207_1_S85	d19_1207_4_S33	d21_2935_S37	d21_3739_S36	d21_429_S63	d21_448_S62	d21_5220_S61	d21_5505_S60	d21_5925_S40	d21_5942_S41	d4_1203_2_S131	d4_1205_2_S73	d4_1840_1_S140	d4_1840_2_S141	dGF2_hFMT1B_S117	dn7_1203_1_S74	dn7_1205_1_S76	dn7_1835_1_S23	dn7_1840_2_S106	dn7_1840_3_S107	healthy_cecal_1913_1_S28	healthy_cecal_1913_2_S70	humanDonor_exp2_S86	mouseFMT_exp1_S130
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.1728	41.0182	32.4712	26.9579	31.1647	10.6741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.2783	35.1192	48.543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.8813	24.3396	28.6544	41.2291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6478	GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	0	0	0	0	0.408821	0.793253	1.16082	5.22016	6.3563	7.02031	0	0	0	0	0	8.72492	1.41243	16.8059	0	0	0.849993	92.1299	81.4315	51.7634	19.4018	27.6555	29.6899	32.7456	22.27	0	0	0	2.41473	3.01632	3.05287	0.642293	0	66.3787	60.6417	6.35866	5.15217	5.54633	0	6.93989	0	0	0	0	40.3426	35.9705	36.6704	0	0.764653	0	100.81	0	42.8347	116.772	11.2795	4.65118	5.03464	3.18538	0	0	0	0	0	0	0	0	6.29953	9.22684	11.7175	9.97608	10.4349	0	0	0	0.051495	0	0	1.58324	17.572	28.4347	18.2694	33.7698	35.5862	0	0	0	0	0	0	59.5252	80.3967	0	0	0	6.25058	7.76944	7.36556	0	0	0	0	0	0	1.64879	1.09847	0	0	0	0	0	0.421561
PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate degradation	47.704	93.5327	51.3345	30.529	52.0367	67.0083	64.5349	47.3087	39.3207	30.0081	6.39387	3.55403	14.9343	10.0845	12.605	77.4964	111.74	40.4963	68.8811	7.46049	69.8463	47.0263	56.8316	22.6073	37.2574	60.9078	34.9097	31.2738	71.3209	99.7895	34.7824	75.7148	75.5972	78.6912	44.5231	64.3725	6.072	94.8902	49.6347	42.9237	53.7864	44.897	59.9697	27.9665	41.6865	62.1316	75.5615	89.9215	47.6645	18.6623	29.2376	62.261	1.95888	40.4148	34.8056	3.68783	49.7298	23.7971	71.1082	98.5197	108.85	95.5935	83.1929	0	73.7752	48.8376	56.7132	56.7778	57.4648	0	57.9015	44.7024	58.7995	38.8024	51.7375	21.0339	19.577	100.691	115.325	26.706	93.7194	122.288	86.2795	53.2363	72.7562	20.1436	9.96889	53.1048	77.4785	104.803	11.1661	30.8636	46.3673	54.4625	54.5935	35.4915	49.8789	45.5574	46.5034	45.257	32.0593	163.349	4.53895	40.0135	55.5093	33.8545	51.891	126.471	121.253	65.9078	84.6736	30.4765	85.9501	32.3705	146.473
PWY-6518	bile acids epimerization	3.42804	0	0	0	0	0	0	0	0	0	0.704908	0.663877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07492	2.39884	0	0.628534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.514753	0	0	0	0	0	0	0	2.81974	0	0	0	0	0.507631	0	0	0	0
PWY-6519	8-amino-7-oxononanoate biosynthesis I	28.2126	4.38567	7.82158	62.6983	42.8356	72.0733	10.7547	174.333	176.382	168.086	294.865	324.467	322.854	37.4705	85.4165	236.752	16.8092	333.292	1.75436	0	2.69785	104.287	146.213	365.113	266.984	252.007	345.048	282.578	288.255	171.608	149.413	17.5306	15.8005	126.671	102.676	166.072	2.92296	94.2392	213.577	292.91	265.232	292.771	134.997	320.203	123.396	261.957	312.23	348.71	319.465	375.134	366.83	0.939648	0	193.796	42.8425	0	228.586	4.75496	49.6401	281.651	250.259	191.108	260.156	0	282.91	232.659	271.184	252.964	278.741	0.406478	164.328	176.076	173.178	141.949	159.684	257.613	261.261	11.7258	9.10045	6.62818	10.3248	18.3192	206.699	270.719	270.914	365.276	376.412	247.89	303.28	275.714	29.5654	185.215	125.81	107.775	93.2924	53.4025	56.1857	82.5827	235.332	216.775	204.051	242.625	0	275.071	310.888	22.9264	3.9827	12.8538	13.5145	6.06738	93.8332	0	5.2392	161.517	10.9538
PWY-6527	stachyose degradation	593.648	298.489	314.051	473.624	512.809	467.356	167.313	66.3177	82.205	88.4571	73.5304	53.6887	29.4544	143.105	78.0409	134.22	305.47	43.7754	213.382	131.064	256.615	63.9891	79.1285	78.4467	55.3465	77.6844	44.2043	59.6055	98.2451	44.8061	42.786	281.389	250.286	81.4859	73.8338	97.2336	107.906	271.731	112.374	127.421	136.31	131.109	87.4465	109.972	86.9446	268.244	276.312	249.489	66.6547	12.2491	27.8912	181.112	113.239	855.585	96.5243	207.036	137.164	138.711	261.718	165.346	195.093	192.917	133.902	1821.27	258.137	184.641	589.873	599.7	514.091	1498.68	118.742	85.8231	126.195	89.3245	137.573	295.819	134.908	207.771	221.638	151.719	274.719	292.325	134.443	70.6133	98.9578	26.3537	21.7557	102.861	146.397	150.285	108.248	66.6496	34.6596	191.391	126.367	60.6418	91.7812	71.7549	165.053	196.197	155.812	333.893	29.7366	202.665	256.33	587.388	173.178	219.227	275.624	213.737	222.878	253.272	288.576	125.492	195.937
PWY-6531	mannitol cycle	0.869874	10.5175	0.517738	1.51902	0.98045	4.04757	7.08326	24.5273	25.513	13.3426	35.457	12.4173	36.2035	55.4628	45.3353	53.3623	12.5341	26.4102	7.17074	0	10.8727	39.1503	46.8253	49.758	6.46665	16.3621	1.58556	2.41206	0.974017	37.764	36.4071	11.1234	7.25002	28.5101	18.549	41.8365	0	39.0129	43.7492	13.1877	14.6609	17.1707	86.0909	19.7643	67.9989	172.147	205.252	242.19	10.9272	0.68742	0.57928	6.12273	0	95.8667	30.6868	0	50.0461	86.0715	6.54411	27.2732	29.8948	26.8947	29.2056	0	193.668	119.799	138.164	131.157	151.319	0	36.8686	26.5134	28.4766	25.7728	34.9217	35.6574	18.1326	31.6434	33.1948	23.587	6.71016	10.5278	38.1305	13.3878	37.8978	0	0	82.0307	138.542	111.045	6.97579	49.4956	20.6427	33.6163	26.17	23.6815	34.1218	40.9404	21.7442	14.1897	15.9288	135.383	0	96.7974	122.789	0	5.5964	5.45655	10.7111	7.73318	12.1541	3.62216	9.83048	42.2406	4.43014
PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis	82.4517	86.2141	113.453	53.118	60.8597	63.3617	58.6867	53.4187	23.0974	27.2777	8.53212	12.2967	7.34546	10.7031	12.5391	56.7269	81.2153	9.30293	43.8056	9.04144	63.5199	59.5681	62.0414	59.8626	31.694	26.2542	22.0076	16.9663	53.6341	37.5221	20.7496	67.81	54.6867	63.9452	61.8691	78.3257	8.52443	16.3035	0	41.3274	37.0953	45.8412	15.1532	44.9919	9.76714	62.9919	58.2228	38.8799	45.6315	27.8405	56.3865	65.5834	7.87094	50.9225	15.2101	6.04108	6.77675	0.831336	68.4736	62.1065	62.6373	40.0631	39.6252	0	31.6443	87.1101	23.9224	21.9442	26.4597	0	23.9044	49.7897	27.2544	24.9662	31.7779	53.5459	39.4116	29.4105	32.0254	25.1331	48.6648	65.9566	40.2391	54.3846	37.8106	25.7447	35.5947	25.7393	42.1101	46.4106	20.3871	7.26203	29.3368	2.30341	7.44081	0	14.0771	16.9058	40.8227	44.0266	30.891	42.0118	3.73116	14.5388	20.186	69.6725	43.694	72.405	82.2225	70.6598	64.2471	10.3548	76.094	75.3352	85.0273
PWY-6549	L-glutamine biosynthesis III	123.152	25.4484	76.3023	62.1928	109.97	95.647	11.5833	37.8721	48.5959	39.9666	0	4.27825	4.75991	6.48674	2.96465	38.7337	34.9917	7.09724	30.7677	8.47591	27.6584	37.9812	34.7158	34.891	6.72828	32.0224	3.74659	1.67238	0	7.89299	8.63123	20.264	15.2491	42.962	20.3474	54.4067	6.51933	30.1954	6.68203	10.5161	9.72373	16.3685	33.4718	10.247	5.66901	101.229	47.5403	25.8478	20.7961	0	1.17607	39.346	29.4087	0	27.1146	0	13.2697	4.20267	39.7628	23.515	23.2249	17.4834	8.64839	0	0	7.90083	0	0	0	0	65.2236	60.0544	43.3683	37.0042	39.617	16.3886	10.3502	26.8487	24.3546	20.5066	13.4482	46.4461	49.3974	8.02023	45.4425	2.09595	1.37178	4.8166	4.73298	1.98201	10.2365	0	11.6527	13.417	26.6953	28.9063	36.1637	42.1829	23.4046	15.3806	10.3799	20.2647	0	1.97766	1.8755	104.741	39.531	51.0276	30.8915	65.8101	65.1074	21.3434	72.8084	37.6622	40.4014
PWY-6562	norspermidine biosynthesis	0	3.08823	0	1.7103	0.666237	1.83065	0	0	0	0	0	0	0	0	0	0	0.731642	0	0	0	0	0	0	0	0	0.67558	0	0	0	0	0	0	0	0	0	0.401012	0	1.2581	0	0	0	0	0.862306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.693852	0	0	1.35513	1.9755	0	0	0	0	0	0	0	0	0	0	0	0	0	0.391796	1.81534	1.06176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6565	polyamine biosynthesis	0	3.1449	0	0	0	0.889552	0	0	0	0	0	0	0	0	0	0	0.735634	0	0	0	0	0	0	0	0	0.676977	0	0	0	0	0	0	0	0	0	0.531754	0	1.36533	0	0	0	0	0.880434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.725413	0	0	1.38776	2.00335	0	0	0	0	0	0	0	0	0	0	0	0	0	0.398162	1.91611	1.10268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6572	chondroitin sulfate degradation I (bacterial)	0	0	0	2.50234	0	1.69102	1.84395	70.0634	40.0425	36.5848	0	0	0	0	0	82.4291	1.10385	141.596	0	0	0	307.326	260.661	316.647	105.336	73.8975	146.653	151.772	94.8088	0	0	0	0	0	0	0.30337	0	102.463	94.076	44.4696	23.4975	77.6628	0	56.842	0	0	0	0	180.853	104.59	261.286	0	0	0	230.88	0	84.317	168.942	0	192.312	177.867	72.4764	47.5079	0	0	0	0	0	0	0	50.404	59.6482	58.9151	47.3016	45.9505	0	0	0	0	0	0	0	163.249	121.812	117.717	160.095	146.195	0	0	0	0	0	0	107.906	129.002	0	0.900375	0	52.2157	70.5838	71.0725	0	0	0	0	0	0	0	0	0	0	0	1.37399	0	0
PWY-6583	pyruvate fermentation to butanol I	0	0	0	0	0	0	0	0.5486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.795144	0	0	0	0	0	0	1.00263	0	0	0	0	0	0	0	0	1.51751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6588	pyruvate fermentation to acetone	15.8843	4.48362	0.781925	3.86074	3.31417	1.65155	1.56638	29.8212	14.0709	10.1701	1.03762	15.9173	10.3891	4.12465	5.53744	18.7734	5.02032	7.98548	5.43671	2.73009	2.08949	22.6004	28.0804	16.3743	15.3087	18.94	6.36924	14.0024	20.1561	2.15223	1.16467	5.10272	1.90213	4.38581	2.9773	0	0	0.996713	16.2847	9.47593	13.0021	7.42134	23.211	10.7079	15.2146	69.0533	25.2603	12.6277	31.4446	9.67061	23.0889	5.45042	2.88504	0	11.938	4.8226	20.6576	6.76216	7.05618	20.3568	16.4714	11.360900000000001	12.1226	0	0	1.13511	0	0	0	0	23.6009	28.9203	21.0301	12.9971	14.1967	22.6529	36.8988	20.1635	23.0311	28.0813	10.8415	2.40132	25.548	11.8864	16.2533	2.79332	8.83078	1.35319	1.68123	0.815341	0	0.942808	1.22259	8.63748	4.1187	12.5658	10.0779	17.171	13.7438	8.87152	16.9435	0.952648	2.39161	0.86947700000000006	0	19.5114	1.43979	1.18093	3.29063	1.93779	7.81591	1.93743	4.0171	0	2.69282
PWY-6590	Clostridium acetobutylicum acidogenic fermentation	56.5956	33.1057	22.0478	75.7665	66.333	79.0897	21.4251	27.0931	46.1001	42.1887	0	1.05705	1.69066	5.18311	2.39068	15.3235	40.3514	2.24388	25.6953	8.37404	13.9629	47.901	20.2895	41.0908	9.76691	40.2135	4.8397	11.437	15.8158	7.4337	2.23275	36.5793	33.6305	11.3737	3.32598	4.88435	13.0572	17.6335	15.5532	13.6087	7.12744	25.7088	41.7325	27.519	12.0358	91.0349	30.8632	12.6523	44.4311	8.73448	25.8455	16.0446	12.9699	0	12.0164	9.49695	6.52074	0	28.6213	20.393	15.2741	5.23304	18.2582	0	0	3.88841	0	0	0	0	26.1519	28.6641	59.858	37.4289	38.0017	8.24921	11.494	5.18328	6.25969	30.2887	30.6493	31.1685	25.4558	18.41	43.5261	5.07027	5.6871	4.05157	2.53631	1.57805	5.01904	2.02831	0	22.0941	20.7258	30.1008	34.8765	37.8446	28.9003	11.6429	14.6165	1.00415	0	0	1.13999	55.5609	33.5536	25.9287	29.7338	31.1947	38.772	23.2391	37.5092	2.4254	28.2732
PWY-6594	Clostridium acetobutylicum solventogenic fermentation	0	0	0	0	0	0	0	0.901403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02517	0	0	0	0	0	0	1.60467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6595	guanosine nucleotides degradation	34.5338	2.95116	27.5216	8.92961	14.6756	13.768	2.6254	35.8931	30.8876	19.1896	0	0.781265	0.905647	5.82389	0.916366	0.655964	14.1515	4.54466	2.99623	4.08065	4.02155	0.499955	0	8.15654	30.0381	52.4484	24.4992	13.4524	27.4087	157.645	38.7742	2.96298	1.41533	136.201	67.4858	74.5815	4.93133	5.76712	11.6195	18.8811	12.3331	37.9957	28.4635	37.0471	29.6804	28.9201	11.6401	5.34193	32.86	18.391	13.1683	9.69281	0	14.8997	0.876688	9.89853	13.9097	3.99657	6.27626	8.39302	7.00486	10.3174	6.73807	0	7.76474	6.87672	0	0	0	0	22.7248	43.2209	33.6537	27.0636	19.6955	4.36143	5.06722	6.56499	5.59476	17.6648	5.82416	12.6824	9.49196	54.2244	52.7346	22.3451	9.28226	49.6621	25.4962	106.094	1.10001	30.7661	83.7377	3.63743	3.59232	21.8893	18.7203	25.5314	35.6363	18.3888	13.5866	0.515382	13.5715	0	0	31.3325	22.877	12.8484	4.04308	9.00862	14.5031	5.22985	15.1365	29.2055	12.8484
PWY-6604	Clostridium acetobutylicum acidogenic and solventogenic fermentation	0	0	0	0	0	0	0	1.25452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41985	0	0	0	0	0	0	2.19599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6606	guanosine nucleotides degradation	126.424	12.2364	38.6878	110.925	136.415	138.431	8.59482	51.399	40.9791	52.9236	3.06417	2.24797	4.13972	13.3232	25.2364	57.5373	22.9606	41.3412	39.9929	6.62795	7.81491	75.2185	82.3934	126.485	42.5653	72.0179	30.7315	20.1227	39.5203	216.205	176.638	27.9034	23.8248	188.112	122.085	208.649	15.5877	14.5741	18.0347	33.9897	36.572	73.2128	61.4063	76.4922	74.4441	190.175	221.203	236.144	70.0998	26.8264	22.5424	20.1875	10.7676	119.185	32.1221	25.0039	43.0119	5.36007	10.5321	21.4833	28.2216	17.3778	13.7289	0	191.326	148.494	160.713	161.432	156.52	0	33.6707	56.5905	57.07	45.8947	33.5513	8.32717	6.85446	118.953	133.562	37.7138	26.1709	20.2088	64.2668	61.9242	91.1636	29.413	10.5725	286.205	334.3	310.098	21.8222	193.135	152.378	11.0133	12.7909	29.6424	46.8469	46.9852	62.4111	42.2381	40.3464	145.587	23.4579	313.774	334.318	121.589	26.4317	30.6636	17.2968	12.314	46.5673	8.83457	21.9386	145.581	35.8819
PWY-6607	guanosine nucleotides degradation	34.2955	3.14412	24.9636	8.88667	14.5645	13.7039	2.83455	32.1545	28.1687	14.7284	0	0.739428	0.874983	5.44775	0.911401	0.655607	16.5243	4.5074	2.96653	3.608	4.70829	0.50026	0	8.14496	27.6075	57.4335	24.0541	13.8755	29.9669	154.731	37.9833	3.00025	1.41672	134.417	64.7432	73.5961	3.70648	5.46701	10.7159	15.563	9.30796	30.9997	26.9041	29.8925	28.2534	29.8153	11.7657	5.36763	34.0448	16.4908	12.9771	11.0356	10.7676	15.2472	0.874098	9.3567	13.4591	3.55447	7.40759	7.99744	6.78872	8.63824	5.39007	0	7.83139	6.93591	0	0	0	0	21.3972	40.362	28.5954	23.1299	18.5489	3.54572	4.50687	6.53637	5.57882	16.6317	6.04425	20.2088	9.42912	56.0314	56.4561	22.0929	10.0499	49.4844	25.6546	108.929	1.09292	30.4855	78.8926	3.45634	3.44125	19.7563	17.7719	20.8448	29.6564	14.3963	10.2454	0.515754	11.2123	0	0	31.1447	23.9908	13.4646	4.26621	12.314	15.3245	5.95904	21.9386	28.9812	13.3242
PWY-6608	guanosine nucleotides degradation	243.939	55.4584	44.15	262.898	317.392	278.401	32.1009	167.378	169.434	186.106	198.007	203.026	215.865	375.479	359.346	161.232	81.5673	155.104	309.884	15.6601	53.7286	105.075	143.344	251.576	96.0732	113.269	62.4854	36.9842	63.2028	324.937	462.977	44.5713	47.7231	278.627	279.526	337.568	84.6544	172.237	173.335	243.531	234.23	275.108	331.071	248.413	390.048	393.467	408.787	377.491	105.677	83.5857	60.5652	86.4166	15.5435	310.343	187.714	271.17	222.167	157.786	46.2259	172.346	219.11	165.605	199.565	0.535965	308.443	202.11	394.146	371.584	388.041	0	152.132	155.403	183.237	138.202	177.449	111.961	157.655	350.713	343.093	297.953	56.3161	118.938	174.696	103.765	142.104	41.3116	16.2813	382.895	388.197	403.45	181.8	351.376	495.842	348.591	314.119	354.789	321.939	323.434	291.405	314.647	273.899	369.49	618.583	367.849	401.433	233.337	37.1171	46.3524	54.8273	30.8176	101.009	23.8475	68.4826	265.105	52.513
PWY-6609	adenine and adenosine salvage III	712.41	422.991	504.745	645.677	625.879	633.551	341.146	439.094	393.699	484.059	468.463	565.233	517.003	549.553	564.053	448.775	476.558	516.86	610.782	416.672	464.7	415.038	393.176	491.78	413.323	381.778	408.092	392.815	431.384	494.811	531.171	491.421	453.878	465.988	422.917	428.739	511.09	506.04	525.483	456.328	469.135	504.637	519.291	515.046	556.991	290.757	258.577	221.486	467.904	461.271	415.192	384.914	423.588	688.145	562.636	510.272	522.031	463.736	441.729	477.082	506.451	469.889	462.473	1907.31	246.91	172.501	459.382	472.263	398.832	1567.22	472.369	456.308	478.723	475.978	487.313	608.509	558.712	625.907	603.76	534.483	483.846	506.188	481.025	425.305	404.811	413.554	441.071	425.462	336.567	380.087	519.78	411.548	563.369	525.745	479.526	577.439	561.324	538.171	497.562	467.339	488.94	290.691	788.811	442.805	414.989	710.123	319.809	498.309	514.859	381.924	407.302	440.635	430.737	445.248	496.272
PWY-6612	tetrahydrofolate biosynthesis	60.7888	0	33.6475	46.1346	55.6213	46.5964	1.19794	13.1537	11.0569	7.61232	0	0	0	0	0	10.9538	4.85056	12.8807	1.3268	0	0	13.517	16.4205	16.7166	0.526876	5.41487	0.379085	0	0	21.1726	18.5397	0	0.604204	14.5775	13.3887	16.4931	4.77575	4.08395	7.70802	3.75354	1.94409	3.11451	0	4.01953	0	65.4417	84.4875	96.7976	5.3074	0	0	0	0	50.5537	4.39811	4.21698	5.06147	14.3276	0.651649	2.90879	3.12895	3.11327	5.88355	0	77.5679	59.1366	59.4245	55.133	62.9881	0	14.8013	16.3543	11.8355	11.4055	12.7656	0	0	0	1.23476	0	1.61579	4.25821	25.7991	0.95994	12.319	0	2.27594	33.8266	63.3921	51.703	0.954638	18.5048	16.5702	4.56593	2.20758	0	0	0	4.59968	3.67761	3.42593	54.9394	0	39.0421	56.2825	61.4971	10.6371	4.44457	0	2.06211	17.8205	2.1642	5.43141	46.5331	6.75349
PWY-6628	L-phenylalanine biosynthesis	332.593	39.6288	40.382	336.403	397.83	313.18	33.7008	29.835	30.4422	14.8606	2.61697	21.9921	10.8832	50.0328	23.4698	112.777	40.286	29.6508	16.553	0	9.34878	12.9528	23.4435	39.8438	44.2146	63.3128	41.6177	44.7821	55.6419	36.3365	22.9438	29.1115	30.0975	19.0834	13.1791	32.0573	0	167.454	115.059	47.5142	36.9763	61.6167	127.56	48.8408	25.3127	95.0065	105.772	109.939	22.893	6.17257	19.8376	30.2027	4.69479	47.4231	66.6737	0	127.535	27.9634	46.5446	17.4961	29.9017	42.1103	50.1235	0.450047	92.4551	65.1136	64.69	63.782	70.909	0	77.3764	50.2588	46.5947	28.2193	61.5462	93.1681	50.3121	110.205	100.387	76.8007	23.9625	43.7224	65.1349	42.8041	77.6926	26.3998	43.1306	53.0642	77.7139	66.8531	5.04809	31.0206	24.7901	99.8972	83.8055	125.521	125.28	158.235	102.498	56.3024	60.0151	67.2002	0	55.5439	69.5431	306.342	30.9858	66.3892	53.1634	26.3324	76.1966	16.3397	25.4655	79.5893	63.0128
PWY-6630	L-tyrosine biosynthesis	182.043	38.5153	39.409	112.259	140.654	109.372	24.5149	28.0383	27.052	14.0089	2.12206	19.3649	9.64037	82.859	19.5645	90.9666	35.9205	21.2374	13.6508	0	8.50321	12.6318	21.9155	26.1798	34.9382	52.6899	34.9479	35.7679	46.9867	36.2775	20.1691	23.703	21.3005	19.2565	13.0348	31.4548	0	188.815	87.6591	35.2211	29.2969	50.1132	118.026	39.5175	24.4543	47.4962	60.7538	67.816	19.6514	5.98195	18.9743	11.7634	3.8428	29.0578	61.9104	0	107.874	167.391	21.1222	36.5607	48.4498	61.1206	53.3993	0.436293	59.4666	44.0656	40.9885	39.5018	43.3345	0	69.3755	45.9535	41.2263	24.8664	54.9461	77.9053	46.711	105.355	97.129	76.5708	22.1919	38.4417	58.4514	40.2706	68.8459	25.1824	32.7222	41.793	51.5681	59.1732	4.86498	26.1413	24.3873	73.7428	64.3408	82.7021	110.276	93.3947	67.9082	43.8003	47.7232	39.637	3.41283	44.2937	50.6906	167.852	11.0113	30.7631	44.8588	25.7485	65.7799	16.2226	24.0413	57.8042	24.5896
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	0	0	0	0	0	0	0	0.251361	2.64357	1.10458	0	0	0	0	0	2.0766	0.364789	1.1274	0	0	0	11.6958	18.5312	22.0929	0	8.88686	0	0	0	30.6395	26.7375	0	0	20.7948	12.9326	26.8381	0	0	0	0	0	0	0	1.04452	0	108.887	152.292	162.823	3.66126	0	0	0	0	66.3288	2.17855	0	0.453082	0	0	2.32614	2.3177	0	0	0	138.522	90.3817	103.95	101.423	109.172	0	0.636639	0	0.759605	1.16344	2.1933	0	0	0	0.184874	0	0	0	2.13378	0.99112	16.8937	0	0	56.9497	99.0372	88.4989	1.86795	30.0389	16.4317	0	0	0	0	0	1.27685	0	0	93.1149	0	66.8826	89.7015	0	0	0.283304	0	0	0	0	0	23.568	0
PWY-6700	queuosine biosynthesis I (de novo)	444.993	325.389	402.801	469.91	406.355	459.268	271.153	346.476	385.465	423.922	549.297	591.43	584.456	503.071	506.312	336.357	314.067	460.916	588.617	524.653	505.978	413.616	389.239	485.593	398.883	399.203	432.595	413.39	390.777	566.142	663.376	443.349	442.454	536.421	567.899	562.326	617.643	317.315	421.153	373.378	374.439	382.506	405.992	385.088	437.283	380.766	441.416	460.343	447.735	491.243	457.447	484.728	567.197	667.782	500.972	459.258	425.278	350.532	433.693	350.888	328.894	319.734	338.638	1797.84	422.439	581.95	537.777	561.491	443.591	1504.42	321.437	326.242	379.855	377.902	367.405	529.323	455.804	472.917	446.469	490.327	282.685	340.068	331.239	430.654	384.801	444.343	454.76	442.749	422.138	381.597	760.873	518.097	499.63	402.022	413.477	515.213	459.248	459.207	376.375	369.777	387.193	356.179	867.584	484.976	425.131	417.135	175.046	356.084	320.616	287.288	266.592	274.555	305.146	484.159	482.375
