description	category
PWY-5918	Cofactor-Biosynthesis
PWY-5920	Cofactor-Biosynthesis
PWY0-1415	Cofactor-Biosynthesis
PWY-6147	Cofactor-Biosynthesis
PWY-6377	COFACTOR-DEGRADATION
PWY-5499	COFACTOR-DEGRADATION
PWY-8384	COFACTOR-DEGRADATION
PWY-8000	COFACTOR-DEGRADATION
ASPSYNII-PWY	Cyanide-Detoxification
PWY-7142	Cyanide-Detoxification
PWY-6361	Cyclitols-Biosynthesis
PWY-6362	Cyclitols-Biosynthesis
PWY-4661	Cyclitols-Biosynthesis
PWY-6372	Cyclitols-Biosynthesis
PWY-6554	Cyclitols-Biosynthesis
PWY-6364	Cyclitols-Biosynthesis
PWY-6351	Cyclitols-Biosynthesis
PWY-6366	Cyclitols-Biosynthesis
PWY-6365	Cyclitols-Biosynthesis
PWY-5338	Cyclitols-Biosynthesis
PWY-6369	Cyclitols-Biosynthesis
PWY-2301	Cyclitols-Biosynthesis
PWY-6738	Cyclitols-Biosynthesis
PWY-6739	Cyclitols-Biosynthesis
PWY-8078	Cyclitols-Biosynthesis
PWY-6367	Cyclitols-Biosynthesis
PWY-6371	Cyclitols-Biosynthesis
PWY-6555	Cyclitols-Biosynthesis
PWY-6358	Cyclitols-Biosynthesis
PWY-6363	CYCLITOLS-DEG
P562-PWY	CYCLITOLS-DEG
PWY-7241	CYCLITOLS-DEG
PWY-4702	CYCLITOLS-DEG
PWY-4781	CYCLITOLS-DEG
QUINATEDEG-PWY	CYCLITOLS-DEG
PWY-6416	CYCLITOLS-DEG
SHIKIMATEDEG-PWY	CYCLITOLS-DEG
PWY-6419	CYCLITOLS-DEG
PWY-7237	CYCLITOLS-DEG
GLYCOL-GLYOXDEG-PWY	Energy-Metabolism
PWY-8426	Energy-Metabolism
PWY-8425	Energy-Metabolism
PWY-5494	Energy-Metabolism
PWY-8086	Energy-Metabolism
PWY-7385	Energy-Metabolism
PWY-8427	Energy-Metabolism
PWY-5084	Energy-Metabolism
PWY-5046	Energy-Metabolism
PWY0-1312	Energy-Metabolism
PWY-5535	Energy-Metabolism
PWY-8328	Energy-Metabolism
PWY-5536	Energy-Metabolism
PWY-5172	Energy-Metabolism
P161-PWY	Energy-Metabolism
PWY-3781	Energy-Metabolism
PWY-7279	Energy-Metabolism
PWY-4302	Energy-Metabolism
PWY-7383	Energy-Metabolism
PWY-4601	Energy-Metabolism
PWY-7980	Energy-Metabolism
PWY-7396	Energy-Metabolism
PWY-7115	Energy-Metabolism
PWY-241	Energy-Metabolism
PWY-7117	Energy-Metabolism
PWY-6529	Energy-Metabolism
PWY-8270	Energy-Metabolism
PWY0-1565	Energy-Metabolism
ENTNER-DOUDOROFF-PWY	Energy-Metabolism
PWY-5741	Energy-Metabolism
PWY0-1356	Energy-Metabolism
PWY0-1585	Energy-Metabolism
PWY0-1355	Energy-Metabolism
P301-PWY	Energy-Metabolism
PWY2O6K-6	Energy-Metabolism
PWY-6118	Energy-Metabolism
PWY0-1561	Energy-Metabolism
PWY0-1582	Energy-Metabolism
PWY0-1591	Energy-Metabolism
PWY-804	Energy-Metabolism
GLYCOLYSIS	Energy-Metabolism
PWY-5484	Energy-Metabolism
ANAGLYCOLYSIS-PWY	Energy-Metabolism
PWY-1042	Energy-Metabolism
P341-PWY	Energy-Metabolism
PWY-8404	Energy-Metabolism
GLYOXYLATE-BYPASS	Energy-Metabolism
P122-PWY	Energy-Metabolism
P283-PWY	Energy-Metabolism
PWY-5382	Energy-Metabolism
PWY-6512	Energy-Metabolism
PWY-6744	Energy-Metabolism
PWY-6758	Energy-Metabolism
PWY-6759	Energy-Metabolism
PWY-6765	Energy-Metabolism
PWY-6772	Energy-Metabolism
PWY-6780	Energy-Metabolism
PWY-6785	Energy-Metabolism
PWY0-1577	Energy-Metabolism
PWY0-1576	Energy-Metabolism
PWY0-1578	Energy-Metabolism
PWY-6876	Energy-Metabolism
PWY66-367	Energy-Metabolism
PWY66-368	Energy-Metabolism
PWY-5197	Energy-Metabolism
PWY-8377	Energy-Metabolism
PWY-6873	Energy-Metabolism
MALATE-ASPARTATE-SHUTTLE-PWY	Energy-Metabolism
PWY0-1264	Energy-Metabolism
PWY-5248	Energy-Metabolism
PWY-8107	Energy-Metabolism
METHANOGENESIS-PWY	Energy-Metabolism
PWY-5259	Energy-Metabolism
PWY-5247	Energy-Metabolism
PWY-5261	Energy-Metabolism
PWY-5250	Energy-Metabolism
PWY-7007	Energy-Metabolism
PWY-5209	Energy-Metabolism
PWY2OBG-1	Energy-Metabolism
METHFORM-PWY	Energy-Metabolism
PWY-6728	Energy-Metabolism
PWY-6938	Energy-Metabolism
PWY-6938-1	Energy-Metabolism
PWY2O6K-2	Energy-Metabolism
PWY0-1334	Energy-Metabolism
PWY0-1568	Energy-Metabolism
PWY0-1335	Energy-Metabolism
PWY0-1567	Energy-Metabolism
PWY0-1348	Energy-Metabolism
PWY0-1336	Energy-Metabolism
PWY0-1590	Energy-Metabolism
PWY2O6K-4	Energy-Metabolism
PWY0-1347	Energy-Metabolism
PWY-8137	Energy-Metabolism
PWY-8136	Energy-Metabolism
PWY-8271	Energy-Metabolism
P282-PWY	Energy-Metabolism
PWY-5913	Energy-Metabolism
NONOXIPENT-PWY	Energy-Metabolism
PWY-8178	Energy-Metabolism
OXIDATIVEPENT-PWY	Energy-Metabolism
PWY-7796	Energy-Metabolism
P21-PWY	Energy-Metabolism
PWY-6530	Energy-Metabolism
PWY-181	Energy-Metabolism
PWY-8362	Energy-Metabolism
PWY-8363	Energy-Metabolism
PWY-101	Energy-Metabolism
PWY2PN3-7	Energy-Metabolism
PWY0-1544	Energy-Metabolism
PWY-5109	Energy-Metabolism
PWY1YI0-7	Energy-Metabolism
PWY-6970	Energy-Metabolism
PWY-8275	Energy-Metabolism
PWY-5938	Energy-Metabolism
PWY-5939	Energy-Metabolism
PWY-8274	Energy-Metabolism
PWY-6389	Energy-Metabolism
PWY-5481	Energy-Metabolism
PWY-5482	Energy-Metabolism
PWY-5768	Energy-Metabolism
PWY3O-440	Energy-Metabolism
PWY-6588	Energy-Metabolism
CENTFERM-PWY	Energy-Metabolism
PWY-6583	Energy-Metabolism
PWY-6883	Energy-Metabolism
PWY-5480	Energy-Metabolism
PWY-5486	Energy-Metabolism
PWY-6587	Energy-Metabolism
PWY-6863	Energy-Metabolism
PWY-7111	Energy-Metabolism
P108-PWY	Energy-Metabolism
PWY-7545	Energy-Metabolism
PWY-7544	Energy-Metabolism
PWY-5723	Energy-Metabolism
PWY0-1517	Energy-Metabolism
PWY-5677	Energy-Metabolism
PWY1YI0-2	Energy-Metabolism
PWY2O6K-7	Energy-Metabolism
PWY0-1353	Energy-Metabolism
PWY0-1329	Energy-Metabolism
PWY1YI0-8	Energy-Metabolism
PWY1YI0-3	Energy-Metabolism
TCA	Energy-Metabolism
PWY-5690	Energy-Metabolism
PWY66-398	Energy-Metabolism
P105-PWY	Energy-Metabolism
REDCITCYC	Energy-Metabolism
PWY-7254	Energy-Metabolism
TCA-1	Energy-Metabolism
METH-ACETATE-PWY	Energy-Metabolism
PWY-7013	Energy-Metabolism
PWY-6130	Energy-Metabolism
P461-PWY	Energy-Metabolism
PWY-6886	Energy-Metabolism
PWY-5676	Energy-Metabolism
PWY-7384	Energy-Metabolism
PWY-7003	Energy-Metabolism
ANAEROFRUCAT-PWY	Energy-Metabolism
FERMENTATION-PWY	Energy-Metabolism
PHOTOALL-PWY	Energy-Metabolism
PENTOSE-P-PWY	Energy-Metabolism
P41-PWY	Energy-Metabolism
PWY-5096	Energy-Metabolism
PWY-5100	Energy-Metabolism
P142-PWY	Energy-Metabolism
PWY-5483	Energy-Metabolism
PWY-5485	Energy-Metabolism
PWY-5537	Energy-Metabolism
PWY-5538	Energy-Metabolism
PWY-5600	Energy-Metabolism
PWY-7389	Energy-Metabolism
PWY-6604	Energy-Metabolism
PWY-6590	Energy-Metabolism
PWY-6594	Energy-Metabolism
PWY-5464	Energy-Metabolism
PWY4LZ-257	Energy-Metabolism
GLYCOLYSIS-E-D	Energy-Metabolism
GLYCOLYSIS-TCA-GLYOX-BYPASS	Energy-Metabolism
PWY-561	Energy-Metabolism
PWY-6751	Energy-Metabolism
PWY-6830	Energy-Metabolism
PWY-7731	Energy-Metabolism
PWY-7541	Energy-Metabolism
TCA-GLYOX-BYPASS	Energy-Metabolism
RUMP-PWY	Energy-Metabolism
PWY-1881	Energy-Metabolism
CO2FORM-PWY	Energy-Metabolism
PWY-8304	Energy-Metabolism
PWY-6969	Energy-Metabolism
P124-PWY	Energy-Metabolism
NPGLUCAT-PWY	Energy-Metabolism
PWY-2221	Energy-Metabolism
PWY-8004	Energy-Metabolism
PYRUVDEHYD-PWY	Energy-Metabolism
PWY-7402	Energy-Metabolism
PWY-7401	Energy-Metabolism
AMMOXID-PWY	Energy-Metabolism
P303-PWY	Energy-Metabolism
PWY-6057	Energy-Metabolism
DISSULFRED-PWY	Energy-Metabolism
PWY-5258	Energy-Metabolism
PWY-5260	Energy-Metabolism
DENITRIFICATION-PWY	Energy-Metabolism
PWY0-1321	Energy-Metabolism
PWY-5674	Energy-Metabolism
PWY0-1581	Energy-Metabolism
PWY-6748	Energy-Metabolism
PWY0-1352	Energy-Metabolism
PWY0-1573	Energy-Metabolism
PWY0-1584	Energy-Metabolism
P222-PWY	Energy-Metabolism
PWY-5285	Energy-Metabolism
PWY-5276	Energy-Metabolism
PWY-7457	Energy-Metabolism
P203-PWY	Energy-Metabolism
PWY-5302	Energy-Metabolism
SULFUROX-PWY	Energy-Metabolism
FESULFOX-PWY	Energy-Metabolism
PWY-6327	Energy-Metabolism
PWY-5358	Energy-Metabolism
PWY-5277	Energy-Metabolism
PWY-5352	Energy-Metabolism
PWY-7813	Energy-Metabolism
THIOSULFOX-PWY	Energy-Metabolism
PWY-5303	Energy-Metabolism
PWY-7082	Energy-Metabolism
PWY-7084	Energy-Metabolism
PWY-5308	Energy-Metabolism
PWY-5306	Energy-Metabolism
PWY-7337	Fatty-Acid-and-Lipid-Degradation
PWY-7339	Fatty-Acid-and-Lipid-Degradation
PWY-7338	Fatty-Acid-and-Lipid-Degradation
PWY66-387	Fatty-Acid-and-Lipid-Degradation
PWY-6368	Fatty-Acid-and-Lipid-Degradation
PWY-7340	Fatty-Acid-and-Lipid-Degradation
PWY-8354	Fatty-Acid-and-Lipid-Degradation
PWY6666-1	Fatty-Acid-and-Lipid-Degradation
PWY-8056	Fatty-Acid-and-Lipid-Degradation
PWY-6944	Fatty-Acid-and-Lipid-Degradation
PWY-8152	Fatty-Acid-and-Lipid-Degradation
PWY-8135	Fatty-Acid-and-Lipid-Degradation
PWY-7119	Fatty-Acid-and-Lipid-Degradation
PWY-6483	Fatty-Acid-and-Lipid-Degradation
PWY66-388	Fatty-Acid-and-Lipid-Degradation
PWY-6945	Fatty-Acid-and-Lipid-Degradation
PWY-6946	Fatty-Acid-and-Lipid-Degradation
PWY-8151	Fatty-Acid-and-Lipid-Degradation
PWY-2501	Fatty-Acid-and-Lipid-Degradation
FAO-PWY	Fatty-Acid-and-Lipid-Degradation
PWY-5136	Fatty-Acid-and-Lipid-Degradation
PWY-5137	Fatty-Acid-and-Lipid-Degradation
PWY-5138	Fatty-Acid-and-Lipid-Degradation
PWY-6837	Fatty-Acid-and-Lipid-Degradation
PWY66-391	Fatty-Acid-and-Lipid-Degradation
PWY-7288	Fatty-Acid-and-Lipid-Degradation
PWY-6111	Fatty-Acid-and-Lipid-Degradation
PWY0-1337	Fatty-Acid-and-Lipid-Degradation
PWY-7291	Fatty-Acid-and-Lipid-Degradation
PWY-7307	Fatty-Acid-and-Lipid-Degradation
PWY-7292	Fatty-Acid-and-Lipid-Degradation
PWY-7367	Fatty-Acid-and-Lipid-Degradation
PWY-7366	Fatty-Acid-and-Lipid-Degradation
PWY-7783	Fatty-Acid-and-Lipid-Degradation
PWY-6948	Fatty-Acid-and-Lipid-Degradation
SOPHOROSYLOXYDOCOSANOATE-DEG-PWY	Fatty-Acid-and-Lipid-Degradation
PWY3DJ-11470	Fatty-Acid-and-Lipid-Degradation
PWY-8351	Fatty-Acid-and-Lipid-Degradation
PWY-6943	Fatty-Acid-and-Lipid-Degradation
PWY-8155	Fatty-Acid-and-Lipid-Degradation
LIPAS-PWY	Fatty-Acid-and-Lipid-Degradation
PWY-8182	Fatty-Acid-and-Lipid-Degradation
PWY-7754	Fatty-Acid-and-Lipid-Degradation
PWY-8134	Fatty-Acid-and-Lipid-Degradation
PWY-8256	Fatty-Acid-and-Lipid-Degradation
PWY-8255	Fatty-Acid-and-Lipid-Degradation
PWY-8254	Fatty-Acid-and-Lipid-Degradation
PWY-6928	Fatty-Acid-and-Lipid-Degradation
PWY-6947	Fatty-Acid-and-Lipid-Degradation
PWY-8154	Fatty-Acid-and-Lipid-Degradation
PWY-6937	Fatty-Acid-and-Lipid-Degradation
PWY-6518	Fatty-Acid-and-Lipid-Degradation
PWY-6790	Glycan-Pathways
PWY-8436	Glycan-Pathways
PWY-8435	Glycan-Pathways
PWY-6398	HORMONE-DEG
PWY-6399	HORMONE-DEG
PWY-6400	HORMONE-DEG
PWY-6342	HORMONE-DEG
PWY-6313	HORMONE-DEG
PWY-6260	HORMONE-DEG
PWY-6261	HORMONE-DEG
PWY-6688	HORMONE-DEG
PWY-6402	HORMONE-DEG
PWY-2841	HORMONE-DEG
PWY-6546	HORMONE-DEG
PWY-102	HORMONE-DEG
PWY-6477	HORMONE-DEG
PWY-6494	HORMONE-DEG
PWY-8202	HORMONE-SYN
PWY-7101	HORMONE-SYN
PWY-7878	HORMONE-SYN
PWY66-378	HORMONE-SYN
PWY-8200	HORMONE-SYN
PWY66-374	HORMONE-SYN
PWY66-301	HORMONE-SYN
PWY-2781	HORMONE-SYN
PWY-7300	HORMONE-SYN
PWY66-380	HORMONE-SYN
PWY-7306	HORMONE-SYN
ETHYL-PWY	HORMONE-SYN
PWY-6853	HORMONE-SYN
PWY-6854	HORMONE-SYN
PWY-7126	HORMONE-SYN
PWY66-381	HORMONE-SYN
PWY-7882	HORMONE-SYN
PWYDQC-4	HORMONE-SYN
PWY-581	HORMONE-SYN
PWY-3161	HORMONE-SYN
PWY-5025	HORMONE-SYN
PWY-5026	HORMONE-SYN
TRPIAACAT-PWY	HORMONE-SYN
PWY-6220	HORMONE-SYN
PWY-6233	HORMONE-SYN
PWY66-375	HORMONE-SYN
PWY-5967	HORMONE-SYN
PWY66-382	HORMONE-SYN
PWY66-377	HORMONE-SYN
PWY-7299	HORMONE-SYN
PWY-6030	HORMONE-SYN
PWY-8475	HORMONE-SYN
PWY0-1433	HORMONE-SYN
PWY-6241	HORMONE-SYN
PWY-2681	HORMONE-SYN
PWY-7881	HORMONE-SYN
PWY-6303	HORMONE-SYN
PWY-699	HORMONE-SYN
PWY-2582	HORMONE-SYN
PWY-7654	HORMONE-SYN
PWY-7423	HORMONE-SYN
PWY-7656	HORMONE-SYN
PWY-7124	HORMONE-SYN
PWY-7305	HORMONE-SYN
PWY-2902	HORMONE-SYN
PWY-2881	HORMONE-SYN
PWY-2901	HORMONE-SYN
PWY-7035	Hydrocarbon-Biosynthesis
PWY-7032	Hydrocarbon-Biosynthesis
PWY-7033	Hydrocarbon-Biosynthesis
PWY-7869	Hydrocarbon-Biosynthesis
PWY-7027	Hydrocarbon-Biosynthesis
PWY-6622	Hydrocarbon-Biosynthesis
PWY-7026	Hydrocarbon-Biosynthesis
PWY-7029	Hydrocarbon-Biosynthesis
PWY-7778	Hydrocarbon-Degradation
PWY-2724	Hydrocarbon-Degradation
PWY-7780	Hydrocarbon-Degradation
PWY-7776	Hydrocarbon-Degradation
PWY-7777	Hydrocarbon-Degradation
PWY-7774	Hydrocarbon-Degradation
PWY-7775	Hydrocarbon-Degradation
PWY-5534	Hydrocarbon-Degradation
PWY-8300	Inactivation
PWY-1961	Inactivation
PWY-1962	Inactivation
PWY-1981	Inactivation
PWY-2021	Inactivation
PWY-1741	Inactivation
PWY-5788	Inactivation
PWY-5797	Inactivation
PWY-5811	Inactivation
PWY-6219	Inactivation
PWY-5784	Inactivation
PWY-7859	Inactivation
PWY-1782	Inactivation
PWY-6297	Inactivation
PWY-801	Other
PWY-6972	Other
PWY-5441	Other
PWY-7369	Other
PWY-7728	Lipid-Biosynthesis
PWY-7726	Lipid-Biosynthesis
PWY0-862	Lipid-Biosynthesis
PWY-7858	Lipid-Biosynthesis
PWY-5361	Lipid-Biosynthesis
PWY-7590	Lipid-Biosynthesis
PWY2B4Q-7	Lipid-Biosynthesis
PWY-7691	Lipid-Biosynthesis
PWY-8172	Lipid-Biosynthesis
PWY-6352	Lipid-Biosynthesis
PWY-7641	Lipid-Biosynthesis
PWY-7155	Lipid-Biosynthesis
PWY-8141	Lipid-Biosynthesis
PWY-5148	Lipid-Biosynthesis
PWY-5142	Lipid-Biosynthesis
PWY-8042	Lipid-Biosynthesis
PWY-7455	Lipid-Biosynthesis
PWY-7684	Lipid-Biosynthesis
PWY-5375	Lipid-Biosynthesis
PWY-5997	Lipid-Biosynthesis
PWY-7598	Lipid-Biosynthesis
PWY-8398	Lipid-Biosynthesis
PWY-8051	Lipid-Biosynthesis
PWY-8053	Lipid-Biosynthesis
PWY-8173	Lipid-Biosynthesis
PWY-5353	Lipid-Biosynthesis
PWY-7583	Lipid-Biosynthesis
PWY-7601	Lipid-Biosynthesis
PWY-7725	Lipid-Biosynthesis
PWY-8397	Lipid-Biosynthesis
PWY-7740	Lipid-Biosynthesis
PWY-6061	Lipid-Biosynthesis
PWY-6349	Lipid-Biosynthesis
PWY-8365	Lipid-Biosynthesis
PWY-5373	Lipid-Biosynthesis
PWY-5668	Lipid-Biosynthesis
PWY-5269	Lipid-Biosynthesis
PWY0-1545	Lipid-Biosynthesis
PWY-5667	Lipid-Biosynthesis
PWY0-1319	Lipid-Biosynthesis
PWY-5981	Lipid-Biosynthesis
PWY3DJ-12	Lipid-Biosynthesis
PWY-7404	Lipid-Biosynthesis
PWY-8191	Lipid-Biosynthesis
PWY18C3-1	Lipid-Biosynthesis
PWY0-541	Lipid-Biosynthesis
PWY-5973	Lipid-Biosynthesis
PWY-6013	Lipid-Biosynthesis
PWY-8396	Lipid-Biosynthesis
TRIGLSYN-PWY	Lipid-Biosynthesis
PWY-6804	Lipid-Biosynthesis
PWY-6795	Lipid-Biosynthesis
PWY-6032	Lipid-Biosynthesis
PWY-5368	Lipid-Biosynthesis
PWY-7744	Lipid-Biosynthesis
PWY-7743	Lipid-Biosynthesis
PWY-7053	Lipid-Biosynthesis
PWY-7585	Lipid-Biosynthesis
PWY-7606	Lipid-Biosynthesis
PWY-7727	Lipid-Biosynthesis
PWY-8400	Lipid-Biosynthesis
PWY-6129	Lipid-Biosynthesis
PWY-6075	Lipid-Biosynthesis
PWY-7154	Lipid-Biosynthesis
PWY-8175	Lipid-Biosynthesis
PWY66-429	Lipid-Biosynthesis
PWY-6799	Lipid-Biosynthesis
PWY-5966-1	Lipid-Biosynthesis
PWY-4381	Lipid-Biosynthesis
FASYN-ELONG-PWY	Lipid-Biosynthesis
PWY-7094	Lipid-Biosynthesis
PWY-7840	Lipid-Biosynthesis
PWY-401	Lipid-Biosynthesis
PWY-7666	Lipid-Biosynthesis
PWY-5998	Lipid-Biosynthesis
PWY-6000	Lipid-Biosynthesis
PWY-7594	Lipid-Biosynthesis
PWY-7836	Lipid-Biosynthesis
PWY-7838	Lipid-Biosynthesis
PWY-7902	Lipid-Biosynthesis
PWY-8414	Lipid-Biosynthesis
PWY-8082	Lipid-Biosynthesis
PWY-782	Lipid-Biosynthesis
PWY-7663	Lipid-Biosynthesis
PWY-6433	Lipid-Biosynthesis
PWY-6958	Lipid-Biosynthesis
PWY-7049	Lipid-Biosynthesis
PWY-7724	Lipid-Biosynthesis
PWY-7050	Lipid-Biosynthesis
PWY-7602	Lipid-Biosynthesis
PWY-6940	Lipid-Biosynthesis
PWY-8399	Lipid-Biosynthesis
PWY-7755	Lipid-Biosynthesis
PWY-7756	Lipid-Biosynthesis
PWY-7619	Lipid-Biosynthesis
PWY-7839	Lipid-Biosynthesis
PWY-6132	Lipid-Biosynthesis
PWY-5995	Lipid-Biosynthesis
PWY-6001	Lipid-Biosynthesis
PWY-7593	Lipid-Biosynthesis
PWY-8395	Lipid-Biosynthesis
PWY-8415	Lipid-Biosynthesis
PWY-8371	Lipid-Biosynthesis
PWY-7420	Lipid-Biosynthesis
PWY-7746	Lipid-Biosynthesis
PWYG-321	Lipid-Biosynthesis
PWY-7841	Lipid-Biosynthesis
PWY-7388	Lipid-Biosynthesis
PWY-8174	Lipid-Biosynthesis
PWY-5147	Lipid-Biosynthesis
PWY-5996	Lipid-Biosynthesis
PWY-7587	Lipid-Biosynthesis
PWY-7664	Lipid-Biosynthesis
PWY-6818	Lipid-Biosynthesis
PWY-7745	Lipid-Biosynthesis
PWY-5994	Lipid-Biosynthesis
PWY-5971	Lipid-Biosynthesis
PWY-8279	Lipid-Biosynthesis
PWY-6282	Lipid-Biosynthesis
PWY-5366	Lipid-Biosynthesis
PWY-7589	Lipid-Biosynthesis
PWY3O-1801	Lipid-Biosynthesis
PWY-8027	Lipid-Biosynthesis
PWY-5367	Lipid-Biosynthesis
PWY-7742	Lipid-Biosynthesis
PWY-7411	Lipid-Biosynthesis
PWY-7039	Lipid-Biosynthesis
PWY-6803	Lipid-Biosynthesis
PWY3O-450	Lipid-Biosynthesis
PWY4FS-2	Lipid-Biosynthesis
PWY4FS-3	Lipid-Biosynthesis
PWY4FS-4	Lipid-Biosynthesis
PWY-6825	Lipid-Biosynthesis
PWY-6826	Lipid-Biosynthesis
PWY-7470	Lipid-Biosynthesis
PWY4FS-6	Lipid-Biosynthesis
PWY-6273	Lipid-Biosynthesis
PWY-6580	Lipid-Biosynthesis
PWY-7625	Lipid-Biosynthesis
PWY-7885	Lipid-Biosynthesis
PWY-5669	Lipid-Biosynthesis
PWY-7501	Lipid-Biosynthesis
PWY-7506	Lipid-Biosynthesis
PWY-762	Lipid-Biosynthesis
PWY-7417	Lipid-Biosynthesis
PWY-7416	Lipid-Biosynthesis
PWY-7409	Lipid-Biosynthesis
PWY-7741	Lipid-Biosynthesis
PWY-7152	Lipid-Biosynthesis
PWY-7782	Lipid-Biosynthesis
PWY-8335	Lipid-Biosynthesis
PWY-6710	Lipid-Biosynthesis
PWY-7738	Lipid-Biosynthesis
PWY-5374	Lipid-Biosynthesis
PWY-8410	Lipid-Biosynthesis
PWY-8411	Lipid-Biosynthesis
PWY-8412	Lipid-Biosynthesis
PWY-8413	Lipid-Biosynthesis
PWY-6648	Lipid-Biosynthesis
PWY-7618	Lipid-Biosynthesis
PWY-5362	Lipid-Biosynthesis
PWY-6598	Lipid-Biosynthesis
SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	Lipid-Biosynthesis
PWY-5129	Lipid-Biosynthesis
SPHINGOLIPID-SYN-PWY	Lipid-Biosynthesis
PWY3DJ-11281	Lipid-Biosynthesis
PWY-5972	Lipid-Biosynthesis
PWY-5989	Lipid-Biosynthesis
PWY3O-355	Lipid-Biosynthesis
PWY-8280	Lipid-Biosynthesis
PWY-7595	Lipid-Biosynthesis
PWY-4942	Lipid-Biosynthesis
PWY-8026	Lipid-Biosynthesis
PWY-6453	Lipid-Biosynthesis
PWYQT-4427	Lipid-Biosynthesis
PWY66-430	Lipid-Biosynthesis
PWY-8041	Lipid-Biosynthesis
PWY-7588	Lipid-Biosynthesis
PWY-6014	Lipid-Biosynthesis
PWY-7634	Lipid-Biosynthesis
PWY-6917	Lipid-Biosynthesis
PWY-5080	Lipid-Biosynthesis
PWY-7036	Lipid-Biosynthesis
PWY-5884	Lipid-Biosynthesis
PWY-5885	Lipid-Biosynthesis
PWY-6074	Lipid-Biosynthesis
PWY-5143	Lipid-Biosynthesis
PWY-6603	Lipid-Biosynthesis
PWY-7424	Lipid-Biosynthesis
PWY-7592	Lipid-Biosynthesis
PWY-6350	Lipid-Biosynthesis
PWY-6141	Lipid-Biosynthesis
PWY-7509	Lipid-Biosynthesis
PWY66-341	Lipid-Biosynthesis
PWY66-3	Lipid-Biosynthesis
PWY66-4	Lipid-Biosynthesis
PWY4FS-7	Lipid-Biosynthesis
PWY4FS-8	Lipid-Biosynthesis
PWY-7277	Lipid-Biosynthesis
PWY-8401	Lipid-Biosynthesis
PWY66-5	Lipid-Biosynthesis
PWY-4762	Lipid-Biosynthesis
ERGOSTEROL-SYN-PWY	Lipid-Biosynthesis
PWY-7156	Lipid-Biosynthesis
PWY0-881	Lipid-Biosynthesis
PWY-5156	Lipid-Biosynthesis
FASYN-INITIAL-PWY	Lipid-Biosynthesis
PWY-6285	Lipid-Biosynthesis
PWY-7835	Lipid-Biosynthesis
LPSSYN-PWY	Lipid-Biosynthesis
PWY-6113	Lipid-Biosynthesis
PHOSLIPSYN2-PWY	Lipid-Biosynthesis
PHOSLIPSYN-PWY	Lipid-Biosynthesis
PWY-7596	Lipid-Biosynthesis
PWY-6284	Lipid-Biosynthesis
PWY-6036	Lipid-Biosynthesis
P641-PWY	Mercury-Detoxification
PWY-6786	Metabolic-Clusters
PWY-6930	Metabolic-Clusters
PWY-7321	Metabolic-Clusters
PWY18C3-24	Metabolic-Clusters
PWY-8181	Metabolic-Clusters
LIPASYN-PWY	Metabolic-Clusters
PWY-8429	Metabolic-Regulators
PWY-8430	Metabolic-Regulators
PWY-8428	Metabolic-Regulators
PWY66-420	Metabolic-Regulators
PWY-8098	Metabolic-Regulators
PWY-6664	Metabolic-Regulators
PWY-6054	Metabolic-Regulators
PWY-6055	Metabolic-Regulators
PWY-6053	Metabolic-Regulators
PWY66-423	Metabolic-Regulators
PWY-5662	Metabolic-Regulators
PWY-6685	Metabolic-Regulators
PWY66-421	Metabolic-Regulators
PWY-6100	Metabolic-Regulators
PWY-7535	Metabolic-Regulators
PWY-6686	Metabolic-Regulators
PWY-6687	Metabolic-Regulators
PWY-5656	Metabolic-Regulators
PWY-5658	Metabolic-Regulators
PWY-7054	Metabolic-Regulators
PWY-6845	Metabolic-Regulators
PWY-4983	Metabolic-Regulators
PWY-7860	Metabolic-Regulators
PPGPPMET-PWY	Metabolic-Regulators
PWY-6405	Metabolic-Regulators
PWY-5386	Methylglyoxal-Detoxification // Aldehyde-Degradation
PWY-5462	Methylglyoxal-Detoxification // Aldehyde-Degradation
PWY-5453	Methylglyoxal-Detoxification // Aldehyde-Degradation
PWY-8458	Methylglyoxal-Detoxification // Aldehyde-Degradation
PWY-5458	Methylglyoxal-Detoxification // Aldehyde-Degradation
MGLDLCTANA-PWY	Methylglyoxal-Detoxification // Aldehyde-Degradation
PWY-5456	Methylglyoxal-Detoxification // Aldehyde-Degradation
PWY-5386-1	Methylglyoxal-Detoxification // Aldehyde-Degradation
PWY8J2-23	Methylglyoxal-Detoxification // Aldehyde-Degradation
PWY-5459	Methylglyoxal-Detoxification // Aldehyde-Degradation
PWY66-426	Noncarbon-Nutrients
PWY-6736	Noncarbon-Nutrients
PWY-8465	Noncarbon-Nutrients
PWY-8124	Noncarbon-Nutrients
PWY-7805	Noncarbon-Nutrients
PWY-6642	Noncarbon-Nutrients
PWY-6839	Noncarbon-Nutrients
PHOSPHONOTASE-PWY	Noncarbon-Nutrients
PWY-6832	Noncarbon-Nutrients
PWY-7447	Noncarbon-Nutrients
PWY-7462	Noncarbon-Nutrients
PWY-7465	Noncarbon-Nutrients
PWY-6634	Noncarbon-Nutrients
PWY-8214	Noncarbon-Nutrients
PWY-8215	Noncarbon-Nutrients
PWY-7898	Noncarbon-Nutrients
PWY-6964	Noncarbon-Nutrients
AMMASSIM-PWY	Noncarbon-Nutrients
PWY-2242	Noncarbon-Nutrients
SULFMETII-PWY	Noncarbon-Nutrients
